deck.href,deck.text,player.href,player.text,event.href,event.text,rank,date
http://www.mtgtop8.com/event?e=7762&d=244684&f=MO,Affinity,http://www.mtgtop8.com/search?player=Yunhao_Wu_CHN,Yunhao_Wu_CHN,http://www.mtgtop8.com/event?e=7762&f=MO,MTGO Modern Premier (#7263434),4,6/7/2014
http://www.mtgtop8.com/event?e=7762&d=244693&f=MO,Affinity,http://www.mtgtop8.com/search?player=not_a_recluse,not_a_recluse,http://www.mtgtop8.com/event?e=7762&f=MO,MTGO Modern Premier (#7263434),2,6/7/2014
http://www.mtgtop8.com/event?e=7788&d=244840&f=MO,Affinity,http://www.mtgtop8.com/search?player=Jordan+A.+Drudis,Jordan A. Drudis,http://www.mtgtop8.com/event?e=7788&f=MO,Clasificatorio para MagicLleidaCup,1,6/7/2014
http://www.mtgtop8.com/event?e=7849&d=245187&f=MO,Affinity,http://www.mtgtop8.com/search?player=Abraham+Lesmana,Abraham Lesmana,http://www.mtgtop8.com/event?e=7849&f=MO,"PTQ Khans of Tarkir (Surabaya, Indonesia)",10,6/7/2014
http://www.mtgtop8.com/event?e=7860&d=245253&f=MO,Affinity,http://www.mtgtop8.com/search?player=Raul+Cayeiro,Raul Cayeiro,http://www.mtgtop8.com/event?e=7860&f=MO,"PTQ Khans of Tarkir (Murcia, Spain)",10,6/7/2014
http://www.mtgtop8.com/event?e=7861&d=245265&f=MO,Affinity,http://www.mtgtop8.com/search?player=Richard+Anderson,Richard Anderson,http://www.mtgtop8.com/event?e=7861&f=MO,"PTQ Khans of Tarkir (Wilmington, Delaware)",10,6/7/2014
http://www.mtgtop8.com/event?e=7962&d=245834&f=MO,Affinity,http://www.mtgtop8.com/search?player=Lucio+Lodato,Lucio Lodato,http://www.mtgtop8.com/event?e=7962&f=MO,IMT 5 - Italian Magic Tour - Milano,12,6/7/2014
http://www.mtgtop8.com/event?e=7740&d=244542&f=MO,Affinity,http://www.mtgtop8.com/search?player=kokopaypay,kokopaypay,http://www.mtgtop8.com/event?e=7740&f=MO,MTGO Modern Premier (#7263356),1,5/7/2014
http://www.mtgtop8.com/event?e=7741&d=244551&f=MO,Affinity,http://www.mtgtop8.com/search?player=Yunhao_Wu_CHN,Yunhao_Wu_CHN,http://www.mtgtop8.com/event?e=7741&f=MO,MTGO Modern Premier (#7263387),3,5/7/2014
http://www.mtgtop8.com/event?e=7858&d=245246&f=MO,Affinity,http://www.mtgtop8.com/search?player=Chris+Fitzpatrick,Chris Fitzpatrick,http://www.mtgtop8.com/event?e=7858&f=MO,"PTQ Khans of Tarkir (Monroeville, Pennsylvania)",10,5/7/2014
